"Tabela 9537 - Pessoas de 10 anos ou mais de idade, por religião, segundo o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Ano x Religião x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"2022"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Católica Apostólica Romana";;"Evangélicas";;"Espírita";;"Umbanda e Candomblé";;"Tradições indígenas";;"Outras religiosidades";;"Sem religião";;"Não sabe";;"Sem declaração"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres"
"Maranhão";"40 a 49 anos";"294211";"287335";"93564";"131078";"928";"1491";"1321";"1891";"408";"341";"9916";"12176";"34311";"22580";"158";"21";"748";"646"
"Maranhão";"50 a 59 anos";"218073";"218471";"60083";"98208";"572";"1107";"916";"1009";"205";"165";"5913";"8035";"19538";"10822";"37";"22";"579";"352"
"Maranhão";"60 a 69 anos";"157989";"157862";"38008";"65795";"582";"611";"494";"614";"103";"69";"3354";"4932";"11940";"5943";"11";"12";"307";"247"
"Maranhão";"70 a 79 anos";"87928";"90269";"22289";"34961";"180";"319";"206";"497";"41";"108";"1439";"2268";"5975";"2674";"18";"-";"115";"131"
"Maranhão";"80 anos ou mais";"40578";"50247";"10880";"17289";"84";"138";"185";"223";"53";"58";"715";"1031";"2229";"1692";"15";"1";"81";"39"
"Piauí";"15 a 19 anos";"100221";"94295";"20163";"21362";"243";"250";"481";"857";"10";"-";"2556";"2111";"8140";"6913";"47";"-";"124";"125"
"Piauí";"20 a 24 anos";"97338";"94869";"19168";"21182";"245";"440";"995";"1221";"-";"18";"2346";"2378";"9460";"8649";"30";"9";"145";"124"
"Piauí";"25 a 29 anos";"90138";"90225";"17476";"21021";"240";"520";"948";"790";"-";"18";"2412";"2603";"8732";"6479";"18";"11";"134";"92"
"Piauí";"30 a 39 anos";"191854";"195177";"34255";"47481";"770";"1485";"1078";"1429";"-";"3";"4745";"6161";"14790";"10024";"15";"30";"261";"134"
"Piauí";"40 a 49 anos";"179257";"180045";"30082";"43876";"816";"1433";"867";"1089";"-";"38";"4080";"5064";"10521";"6717";"31";"26";"198";"144"
"Piauí";"50 a 59 anos";"140946";"147058";"20961";"34289";"656";"1255";"338";"667";"13";"4";"2487";"3493";"7069";"3686";"17";"21";"62";"64"
"Piauí";"60 a 69 anos";"100968";"110159";"12863";"23464";"420";"562";"287";"151";"-";"-";"1559";"2414";"3942";"1971";"-";"-";"124";"49"
