"Tabela 4179 - Pessoas de 18 anos ou mais de idade fumantes atuais de tabaco, por grupo de idade e situação do domicílio"
"Variável - Percentual de pessoas de 18 anos ou mais de idade fumantes atuais de tabaco (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Grupo de idade"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2019"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"18 a 24 anos";"25 a 39 anos";"40 a 59 anos";"60 anos ou mais"
"Pernambuco";"Urbana";"-";"-";"-";"-"
"Pernambuco";"Rural";"-";"-";"-";"-"
"Alagoas";"Total";"22,1";"13,1";"10,0";"12,4"
"Alagoas";"Urbana";"-";"-";"-";"-"
"Alagoas";"Rural";"-";"-";"-";"-"
"Sergipe";"Total";"33,6";"13,7";"11,1";"14,7"
"Sergipe";"Urbana";"-";"-";"-";"-"
"Sergipe";"Rural";"-";"-";"-";"-"
"Bahia";"Total";"26,7";"16,0";"13,2";"13,0"
"Bahia";"Urbana";"-";"-";"-";"-"
"Bahia";"Rural";"-";"-";"-";"-"
"Minas Gerais";"Total";"19,7";"9,1";"7,9";"9,9"
"Minas Gerais";"Urbana";"-";"-";"-";"-"
"Minas Gerais";"Rural";"-";"-";"-";"-"
"Espírito Santo";"Total";"27,5";"11,6";"8,2";"13,0"
"Espírito Santo";"Urbana";"-";"-";"-";"-"
"Espírito Santo";"Rural";"-";"-";"-";"-"
"Rio de Janeiro";"Total";"17,1";"9,5";"6,8";"9,2"
"Rio de Janeiro";"Urbana";"-";"-";"-";"-"
"Rio de Janeiro";"Rural";"-";"-";"-";"-"
"São Paulo";"Total";"14,2";"9,2";"6,2";"9,4"
"São Paulo";"Urbana";"-";"-";"-";"-"
"São Paulo";"Rural";"-";"-";"-";"-"
"Paraná";"Total";"17,1";"11,1";"9,7";"10,5"
"Paraná";"Urbana";"-";"-";"-";"-"
"Paraná";"Rural";"-";"-";"-";"-"
